MOT.Q0,MOT.Q1,MOT.Q3,Label
0.312067,-0.566956,-0.64447,2
0.313635,-0.5672,-0.644226,2
0.828519,-0.028748,-0.131348,0
0.526307,-0.156311,-0.225281,1
0.435716,-0.073059,-0.197693,1
0.310231,-0.566223,-0.645691,2
0.749943,0.024719,-0.209167,0
0.673156,-0.046387,0.003296,1
0.465312,-0.153748,-0.16925,1
0.823587,0.133789,-0.091248,1
0.331136,-0.541931,-0.613342,2
0.461045,-0.207825,-0.135498,1
0.706104,-0.092102,-0.121338,0
0.673805,-0.144836,-0.308716,1
0.770927,-0.046997,-0.179443,0
0.642168,0.060974,-0.112976,0
0.712778,-0.013733,0.021423,1
0.86026,-0.03717,-0.17572,0
0.748654,0.069641,-0.132935,0
0.521828,-0.232117,-0.166931,1
0.309156,-0.565308,-0.646545,2
0.312002,-0.565125,-0.645569,2
0.324897,-0.541016,-0.614624,2
0.819621,-0.017212,-0.171814,0
0.75998,-0.036926,-0.170715,0
0.311751,-0.566833,-0.644653,2
0.324949,-0.541687,-0.61377,2
0.876801,-0.027893,-0.130249,0
0.309423,-0.565125,-0.646423,2
0.841964,-0.016113,-0.21106,0
0.685617,-0.048401,0.020081,1
0.51559,-0.100647,-0.222534,1
0.313539,-0.566406,-0.64447,2
0.816777,0.100159,-0.094727,1
0.707519,0.006958,0.037048,1
0.31214,-0.565613,-0.645691,2
0.322749,-0.542358,-0.614807,2
0.323391,-0.541992,-0.614746,2
0.869492,-0.00415,-0.203064,0
0.309586,-0.564026,-0.647766,2
0.711478,-0.049011,-0.186768,0
0.802652,-6.1e-05,-0.19696,0
0.594552,-0.097351,-0.317017,1
0.709231,-0.031189,-0.101318,0
0.598671,-0.03717,-0.256592,1
0.63593,-0.028381,0.041992,1
0.573444,-0.09198,-0.24115,1
0.649947,0.086731,-0.114929,0
0.813701,0.049744,-0.143005,0
0.67491,0.064575,-0.146729,0
0.323312,-0.540405,-0.616089,2
0.320547,-0.540222,-0.616943,2
0.650651,0.001404,0.06842,1
0.752113,-0.030579,-0.234741,0
0.491032,-0.180115,-0.192383,1
0.324822,-0.541077,-0.614563,2
0.726814,0.094604,-0.203979,0
0.324913,-0.541687,-0.613647,2
0.330406,-0.54071,-0.613831,2
0.808099,0.011597,-0.194092,0
0.642492,-0.181641,-0.289368,1
0.403566,-0.101807,-0.248352,1
0.630466,-0.225464,-0.366455,1
0.871029,-0.136047,-0.179871,0
0.535335,-0.16864,-0.269836,1
0.321688,-0.541138,-0.616577,2
0.309092,-0.565247,-0.646667,2
0.684719,0.080261,-0.120422,0
